,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TXST-ABBY LUM,0,0,0,0,0,0,3,0,0,0,0,0,0
TEXAS-ERIN MCBRIDE,1,0,0,0,0,1,2,0,0,0,0,0,0
TXST-MELISSA KITE,0,0,0,0,0,0,2,0,0,0,0,1,0
TEXAS-19,0,0,0,0,0,1,2,0,0,0,0,0,0
TXST-DONOVAN MITCHELL,4,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,2,0,0,0,0,1,1,0,0,0,0,0,0
TXST-35,1,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-CULLEN FRIDAY,1,0,0,0,2,1,1,0,0,0,0,0,0
TEXAS-CATHERINE HABERL,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-JOCELYN WHISTLER,0,0,0,0,0,0,1,0,0,0,0,0,0
TXST-STEPHEN VIGIL,0,0,0,0,2,0,1,0,0,0,0,0,0
TEXAS-AIDAN PARSI,2,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JOHN ANDERSON,1,2,0,0,0,0,0,0,0,0,0,0,0
TEXAS-NICK MARINO,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-BRANDON MACDOWRA,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-JENNA BOLLWEG,1,1,0,0,0,0,0,0,0,0,0,0,0
TXST-ERIC REYES,1,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-EDDIE MOLINA,0,0,3,0,0,0,0,0,0,0,0,0,0
TEXAS-HALLIE PACE,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-KYLIE MCBRIDE,0,0,4,0,0,0,0,0,0,0,0,0,0
TEXAS-OMAR GARZA,0,0,2,0,0,0,0,0,0,0,0,0,0
TXST-17,0,0,1,0,0,0,0,0,0,1,0,0,1
TXST-71,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-JESS MARKLE,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-RYAN NAWROCKI,0,0,3,0,0,0,0,0,0,2,0,0,0
TXST-TESS ACOSTA,0,0,1,0,1,0,0,0,0,0,0,0,0
