,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TAMU-LANDIS WALTHER,0,0,0,0,0,0,3,0,0,0,0,0,0
TAMU-UNK,3,0,0,0,1,1,2,0,0,0,0,0,0
TEXAS-CULLEN FRIDAY,1,3,0,0,0,1,2,0,0,0,0,0,0
TEXAS-ANDRES GARZA,0,0,0,0,0,0,2,0,0,0,0,0,0
TEXAS-ERIN MCBRIDE,0,0,0,0,0,1,2,0,0,0,0,0,0
TEXAS-NICK MARINO,3,0,0,0,0,2,1,0,0,0,0,0,0
TAMU-12,0,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-DANIEL SOBARZO,0,0,1,0,1,0,1,0,0,0,0,0,0
TEXAS-CATHERINE HABERL,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-JOHN ANDERSON,0,0,0,0,0,1,1,0,0,0,0,0,0
TAMU-1,2,1,0,0,0,1,0,0,0,0,0,0,0
TAMU-JUAN ACEVEDO,1,0,0,0,1,0,0,1,0,0,0,0,0
TEXAS-DYLAN BOTTOMS,1,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,1,1,0,0,0,0,0,0,0,0,0,0,0
TAMU-15,0,1,0,0,0,0,0,0,0,0,0,0,0
TAMU-ALEX STEWART,0,0,2,0,0,0,0,0,0,0,0,0,1
TAMU-LOUIS SANCHEZ,0,0,0,0,1,0,0,0,0,0,0,0,0
TAMU-NICK ROY,0,0,0,0,0,0,0,0,0,1,0,0,0
TEXAS-EDDIE MOLINA,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-HALLIE PACE,0,0,3,0,0,0,0,0,0,0,0,0,0
TEXAS-JOCELYN WHISTLER,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,1,0,0,0,0,0,0,1,0,0,0
TAMU-RACHEL NICOLETTI,0,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-DAVID HUBER,0,0,0,0,0,1,0,0,0,0,0,0,0
TAMU-JESSICA HEMBREE,0,0,0,0,0,2,0,0,0,0,0,0,0
