,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
ASU-10,1,0,0,0,1,0,1,0,0,0,0,0,0
ASU-9,0,0,0,0,0,0,1,0,0,0,0,0,0
ASU-CELIA EVANS,0,0,0,0,0,0,1,0,0,0,0,0,0
ASU-JOSHUA COVERICK,0,0,0,0,0,0,1,0,0,0,0,0,0
ROCHESTER-JUSTIN KING,0,0,0,0,0,0,1,0,0,0,0,0,0
ASU-12,0,0,0,0,0,1,1,0,0,0,0,0,0
ASU-JARED MOREDA,3,0,0,0,0,0,0,0,0,0,0,0,0
ASU-BRENTLEE CASS,1,1,0,0,1,0,0,0,0,0,0,0,0
ROCHESTER-OWYN GUINNIP,1,1,0,0,0,1,0,0,0,0,0,0,0
ASU-AMANI BURTON,0,0,1,0,0,0,0,0,0,0,0,0,0
ASU-CALEB RAGATZ,0,0,2,0,0,0,0,0,0,0,0,0,0
ASU-MAKENNA BAUM,0,1,0,0,0,0,0,0,0,0,0,0,0
ASU-MEGAN SOPA,0,1,0,0,0,0,0,0,0,0,0,0,0
ASU-VICKY SANFORD,0,0,1,0,0,0,0,0,0,0,0,0,0
ROCHESTER-MADDISON JORDAN,0,0,0,0,3,0,0,0,0,0,0,0,0
ROCHESTER-PERRY WANG,0,0,1,0,0,0,0,0,0,0,0,0,0
ROCHESTER-STEVEN BELITZKY,0,0,2,0,0,0,0,0,0,0,0,0,1
ASU-COLTON LISH ,0,0,0,0,0,1,0,0,0,0,0,0,1
ROCHESTER-BASEM ASHKAR,0,2,0,0,0,1,0,0,0,0,0,0,0
ROCHESTER-SAMANTHA DINGA,0,0,0,0,0,1,0,0,0,0,0,0,0
