,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
ASU-DYLAN BRYANT,2,0,0,0,0,1,1,0,0,0,0,0,0
ASU-JARED MOREDA,1,2,0,1,0,0,1,0,0,0,0,0,0
ASU-JOSH LOVATO,0,0,0,1,0,0,1,0,0,0,0,0,0
KANSAS-BRANDON TABOR,0,0,0,1,0,0,1,0,0,0,0,0,0
KANSAS-RACHEL HEALD,1,2,0,0,0,0,0,0,0,0,0,0,0
ASU-AMANI BURTON,0,0,2,0,0,0,0,0,0,0,0,0,0
ASU-BRENTLEE CASS,0,2,0,0,1,0,0,0,0,0,0,0,0
ASU-JARROD BAILEY,0,0,1,0,0,0,0,0,0,0,0,0,1
ASU-RYAN MCGONAGLE,0,0,1,0,0,0,0,0,0,0,0,0,0
ASU-VICKY SANFORD,0,0,1,0,0,0,0,0,0,0,0,0,0
KANSAS-ADAM MCMORRIS,0,0,1,1,0,0,0,0,0,0,0,0,0
KANSAS-BRYAN WEARY,0,0,0,0,0,0,0,0,0,0,0,0,1
KANSAS-IAN MCCABE,0,0,0,0,1,0,0,0,0,0,0,0,1
KANSAS-JAKE SIMON,0,0,1,0,0,0,0,0,0,0,0,0,0
KANSAS-KEVIN MCMORRIS,0,0,0,0,1,0,0,0,0,0,0,0,0
KANSAS-RACHEL ENGLAND,0,0,1,0,0,0,0,0,0,0,0,0,0
KANSAS-RYLEY ANDREWS,0,0,2,0,0,0,0,0,0,3,0,0,0
KANSAS-BEN ENGELS,0,0,0,0,0,1,0,0,0,0,0,0,0
