,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
KANSAS-BRANDON TABOR,0,0,0,0,1,0,4,0,0,0,0,0,0
UCLA-JONATHAN GARCIA-ROVETTA,1,3,0,0,0,0,2,0,0,0,0,0,0
KANSAS-RACHEL HEALD,2,0,0,0,0,1,1,0,0,0,0,0,0
UCLA-RYAN HARRIS,2,1,0,0,0,1,1,0,0,0,0,0,0
UCLA-CHRISTIAN CLARION,1,1,0,0,0,1,1,0,0,0,0,0,0
KANSAS-KEVIN MCMORRIS,0,0,0,0,0,0,1,0,0,0,0,0,0
UCLA-KEVIN GALLAGHER,0,1,0,0,0,0,1,0,0,0,0,0,0
KANSAS-BEN ENGELS,2,0,0,0,1,1,0,0,0,0,0,0,0
KANSAS-BRYAN WEARY,1,0,0,0,0,0,0,0,0,0,0,0,0
KANSAS-IAN MCCABE,1,0,0,0,2,0,0,0,0,0,0,0,1
UCLA-ELIZABETH NG,1,1,0,0,0,1,0,0,0,0,0,0,1
KANSAS-JAKE SIMON,0,0,2,0,0,0,0,0,0,1,0,0,0
KANSAS-MATT DWYER,0,2,0,0,0,0,0,0,0,0,0,0,0
KANSAS-OLIVIA FEDERICO,0,1,0,0,0,0,0,0,0,0,0,0,0
KANSAS-RACHEL ENGLAND,0,0,1,0,0,0,0,0,0,0,0,0,0
KANSAS-RYLEY ANDREWS,0,0,0,0,0,0,0,0,0,1,0,0,0
UCLA-CHRISTIAN KRIEGER,0,1,0,0,0,0,0,0,0,0,0,0,1
UCLA-DANI CLARKE,0,0,1,0,0,0,0,0,0,0,0,0,0
UCLA-JUSTIN VANLIGTEN,0,0,2,0,0,0,0,0,0,0,0,0,1
UCLA-UNK,0,0,0,0,0,1,0,0,0,0,0,0,0
