,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
KANSAS-BRYAN WEARY,0,0,0,0,0,0,1,0,0,0,0,0,0
ROCHESTER-SAMANTHA DINGA,0,1,0,0,0,0,1,0,0,0,0,0,0
KANSAS-MATT DWYER,1,0,0,0,0,0,0,0,0,0,0,0,0
ROCHESTER-MADDISON JORDAN,1,1,0,0,0,0,0,0,0,0,0,0,0
KANSAS-15,0,0,0,0,0,0,0,0,0,1,0,0,0
KANSAS-ADAM MCMORRIS,0,0,2,0,0,0,0,0,0,0,0,0,0
KANSAS-RYLEY ANDREWS,0,0,1,0,0,0,0,0,0,1,0,0,0
KANSAS-UNK,0,0,0,0,1,0,0,0,0,0,0,0,0
ROCHESTER-PERRY WANG,0,0,2,0,0,0,0,0,0,0,0,0,0
ROCHESTER-TIM KWAN,0,0,1,0,0,0,0,0,0,1,0,0,0
KANSAS-KEVIN MCMORRIS,0,0,0,0,1,1,0,0,0,0,0,0,0
ROCHESTER-BASEM ASHKAR,0,1,0,0,1,1,0,0,0,0,0,0,0
