,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TEXAS-AIDAN PARSI,1,1,0,0,0,1,1,0,0,0,0,0,0
ROCHESTER-JUSTIN KING,0,1,0,0,0,0,1,0,0,0,0,0,0
ROCHESTER-MADDISON JORDAN,0,0,0,0,0,0,1,0,0,0,0,0,0
ROCHESTER-OWYN GUINNIP,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-CULLEN FRIDAY,0,1,0,0,0,0,1,0,0,0,0,0,0
TEXAS-ERIN MCBRIDE,0,0,0,0,0,0,1,0,0,0,0,0,0
ROCHESTER-BASEM ASHKAR,3,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-AUSTIN DICKSON,1,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-JOHN ANDERSON,1,0,0,0,0,0,0,0,0,0,0,0,0
ROCHESTER-STEVEN BELITZKY,0,0,1,0,0,0,0,0,0,0,0,0,0
ROCHESTER-TIM KWAN,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-EDDIE MOLINA,0,0,2,0,0,0,0,0,0,1,0,0,0
TEXAS-HALLIE PACE,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-SOPHIA DESALVO,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,0,0,0,0,0,0,0,1,0,0,0
