,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TEXAS-NICK MARINO,1,0,0,0,0,0,3,0,0,0,0,0,0
TEXAS-ERIN MCBRIDE,1,0,0,0,0,0,2,0,0,0,0,0,0
UCLA-ELIZABETH NG,0,0,0,0,0,0,2,0,0,0,0,0,0
UCLA-ASHLEY GORE,0,0,0,0,0,0,1,0,0,0,0,0,0
UCLA-CHRISTIAN CLARION,0,0,0,0,0,0,1,0,0,0,0,0,0
UCLA-JONATHAN GARCIA-ROVETTA,4,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-CULLEN FRIDAY,2,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-DYLAN BOTTOMS,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-EDDIE MOLINA,0,0,4,0,0,0,0,0,0,0,0,0,0
TEXAS-HALLIE PACE,0,0,0,0,0,0,0,0,0,1,0,0,0
TEXAS-JOHN ANDERSON,0,2,0,0,0,0,0,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-OMAR GARZA,0,0,1,0,0,0,0,0,0,1,0,0,0
UCLA-RYAN HARRIS,0,1,0,0,1,0,0,0,0,0,0,0,0
TEXAS-AUSTIN DICKSON,0,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-JOEY CASTELLANO,0,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-SOPHIA DESALVO,0,0,0,0,0,1,0,0,0,0,0,0,0
UCLA-UNK,0,0,0,0,0,1,0,0,0,0,0,0,0
