,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
KANSAS-BRANDON TABOR,0,0,0,0,0,0,3,0,0,0,0,0,0
TXST-TIM NGUYEN,0,0,0,0,0,0,2,0,0,0,0,0,0
TXST-6,1,1,0,0,0,0,1,0,0,0,0,0,0
KANSAS-IAN MCCABE,0,0,0,0,0,0,1,0,0,0,0,0,0
TXST-BRANDON MACDOWRA,0,0,0,0,0,0,1,0,0,0,0,0,0
TXST-MELISSA KITE,0,0,0,0,0,0,1,0,0,0,0,0,0
KANSAS-RACHEL HEALD,2,3,0,0,0,0,0,0,0,0,0,0,0
TXST-4,2,1,0,0,0,0,0,0,0,0,0,0,0
TXST-DONOVAN MITCHELL,2,0,0,0,1,1,0,0,0,0,0,0,0
KANSAS-BEN ENGLES,1,0,0,0,0,0,0,0,0,0,0,0,0
KANSAS-MATT DWYER,1,1,0,0,0,0,0,0,0,0,0,0,0
KANSAS-BRYAN WEARY,0,1,0,0,0,0,0,0,0,0,0,0,0
KANSAS-JAKE SIMON,0,0,2,0,0,0,0,0,0,0,0,0,0
KANSAS-KEVIN MCMORRIS,0,0,0,0,0,0,0,0,0,0,0,0,1
KANSAS-RACHEL ENGLAND,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-BAILEE FIELDS,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-JESSICA MARKLE,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-KRIS DELAFUENTE,0,0,3,0,0,0,0,0,0,0,0,0,0
TXST-RYAN NAWROCKI,0,0,1,0,0,0,0,0,0,0,0,0,0
