,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TEXAS-DAVIS ROE,0,0,0,0,0,0,3,0,0,0,0,0,0
TEXAS-JOSH JOHNSON,0,0,0,0,0,0,2,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,2,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,2,0,0,0,0,1,1,0,0,0,0,0,1
TAMU-23,0,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-LANDIS WALTHER,0,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-LOUIS SANCHEZ,0,0,0,0,1,0,1,0,0,0,0,0,0
TEXAS-GRAYSON BRIGGS,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-KASYE BEVERS,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-JOHN ANDERSON,2,1,0,0,0,0,0,0,0,0,0,0,0
TAMU-CONNOR MCINTYRE,2,1,0,0,0,2,0,0,0,0,0,0,0
TAMU-CAMERON VILLAMIL,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JOEY CASTELLANO,1,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-NATHAN LEWIS,1,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JAYDAN GILSTRAP,1,0,0,0,0,1,0,0,0,0,0,0,0
TAMU-34,0,0,1,0,0,0,0,0,0,0,0,0,0
TAMU-ADRIENNE DEMOSS,0,1,0,0,0,0,0,0,0,0,0,0,0
TAMU-ALEX STEWART,0,0,2,0,0,0,0,0,0,0,0,0,0
TAMU-MIGUEL SOBARZO,0,0,0,0,0,0,0,0,0,0,0,0,1
TAMU-NICK ROY,0,0,1,0,0,0,0,0,0,0,1,0,1
TEXAS-DAVID HUBER,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-JACK WANG,0,0,1,0,0,0,0,0,0,0,0,0,1
TEXAS-JOSHUA MAGEE,0,0,0,0,0,0,0,0,0,0,0,1,0
TEXAS-KYLIE MCBRIDE,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-OLIVE JIM-DANIELS,0,1,0,0,1,0,0,0,0,0,0,0,0
TEXAS-SETH LAPRAY,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,3,0,0,0,0,0,0,1,0,0,0
TEXAS-UNK,0,0,0,0,1,0,0,0,0,0,0,0,0
TAMU-HAYDAN ALTMAN,0,0,0,0,2,1,0,0,0,0,0,0,0
TAMU-RANDI DORAN,0,0,0,0,0,1,0,0,0,0,0,0,0
