,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
KANSAS-UNK,1,1,2,0,1,0,1,0,0,0,0,0,0
CAL-12,0,0,0,0,0,0,1,0,0,0,0,0,0
CAL-AJ MORGAN,0,0,0,0,0,0,1,0,0,0,0,0,0
KANSAS-BRANDON TABOR,0,0,0,0,1,0,1,0,0,1,0,0,0
CAL-RYAN PFENNING,2,0,0,0,2,5,0,0,0,0,0,0,0
KANSAS-6,1,0,0,0,0,0,0,0,0,0,0,0,1
CAL-16,0,0,0,0,0,0,0,0,0,0,0,0,1
CAL-MATT THURA,0,1,0,0,1,0,0,0,0,0,0,0,0
CAL-UNK,0,0,1,0,0,0,0,0,0,0,0,0,0
KANSAS-RACHEL ENGLAND,0,0,1,0,0,0,0,0,0,0,0,0,0
KANSAS-RYLEY ANDREWS,0,0,1,0,0,0,0,0,0,0,0,0,0
CAL-ERIC SHEN,0,0,0,0,0,1,0,0,0,0,0,0,0
