,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
KANSAS-UNK,3,1,4,0,1,2,10,0,0,3,0,0,0
TEXAS-AIDAN PARSI,1,0,0,0,0,1,3,0,0,0,0,0,0
TEXAS-DAVIS ROE,0,0,0,0,1,0,3,0,0,0,0,0,0
KANSAS-BRANDON TABOR,0,0,0,0,0,1,3,0,0,0,0,0,0
TEXAS-KASYE BEVERS,1,0,0,0,1,0,1,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,1,1,0,0,1,2,1,0,0,0,0,0,1
KANSAS-RACHEL HEALD,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-21,0,1,0,0,0,0,1,0,0,0,0,0,0
TEXAS-JOEY CASTELLANO,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-OLIVE JIM-DANIELS,0,0,0,0,0,1,1,0,0,0,0,0,0
TEXAS-UNK,0,1,2,0,0,1,1,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,0,0,0,0,0,2,1,0,0,0,0,0,1
TEXAS-GRAYSON BRIGGS,1,1,0,0,0,0,0,0,0,0,0,0,0
KANSAS-15,0,0,1,0,0,0,0,0,0,0,0,0,0
KANSAS-23,0,0,1,0,0,0,0,0,0,0,0,0,0
KANSAS-6,0,0,0,0,0,0,0,0,0,0,0,0,1
KANSAS-96,0,0,0,0,0,0,0,1,0,0,0,0,0
KANSAS-BEN ENGELS,0,0,0,0,0,0,0,0,0,0,0,0,1
KANSAS-RYAN DICKEY,0,0,0,0,0,0,0,0,0,0,0,0,1
TEXAS-RICHMOND KEELING,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,1,0,0,0,0,0,0,0,0,0,1
TEXAS-DYLAN BOTTOMS,0,0,0,0,0,1,0,0,0,0,0,0,1
