,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
CAL-MADDI ERDALL,0,0,0,0,0,0,3,0,0,0,0,0,1
CAL-ELIJAH PHIPPS,0,0,0,0,0,0,1,0,0,0,0,0,1
TEXAS-CARLY JORDAN,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-KASYE BEVERS,0,0,0,0,1,0,1,0,0,0,0,0,0
TEXAS-JOSH JOHNSON,0,0,0,0,0,1,1,0,0,0,0,0,0
CAL-RYAN PFENNING,4,0,0,0,2,3,0,0,0,0,0,0,0
TEXAS-NATHAN LEWIS,2,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,1,0,0,0,0,0,0,0,0,0,0,0,0
CAL-MATT THURA,0,0,0,0,1,0,0,0,0,0,0,0,0
CAL-MATTHEW WALKER,0,1,0,0,0,0,0,0,0,0,0,0,0
CAL-SUVAM NAYAK,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-AIDAN PARSI,0,0,0,0,0,0,0,0,0,1,0,0,1
TEXAS-DAVIS ROE,0,0,0,0,0,0,0,0,0,0,0,0,1
TEXAS-DYLAN BOTTOMS,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-JOEY CASTELLANO,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-RICHMOND KEELING,0,0,2,0,0,0,0,0,0,0,0,0,0
TEXAS-SPENCER FORBES,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,1,0,0,0,0,0,0,0,0,0,1
TEXAS-UNK,0,1,0,0,0,0,0,0,0,0,0,0,0
CAL-AJ MORGAN,0,2,0,0,1,1,0,0,0,0,0,0,0
CAL-UNK,0,1,3,0,1,4,0,0,0,0,0,0,0
