,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
UCLA-ELIZABETH NG,0,0,0,0,0,0,4,0,0,0,0,0,0
UCLA-JONATHAN GARCIA-ROVETTA,2,1,0,0,0,2,3,0,0,0,0,0,0
TEXAS-OLIVE JIM-DANIELS,0,0,0,0,0,0,2,0,0,0,0,0,0
TEXAS-AIDAN PARSI,0,0,0,0,0,2,2,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,1,0,0,0,0,3,1,0,0,0,0,0,0
TEXAS-CARLY JORDAN,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-DAVIS ROES,0,0,0,0,1,0,1,0,0,0,0,0,1
TEXAS-GRAYSON BRIGGS,0,0,0,0,0,0,1,0,0,0,0,0,1
TEXAS-JOHN ANDERSON,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,1,0,0,0,0,0,0,0,0,0,0,0,0
UCLA-17,1,0,0,0,0,0,0,0,0,0,0,0,0
UCLA-3,1,0,0,0,1,2,0,0,0,0,0,0,0
TEXAS-JACK WANG,0,0,3,0,0,0,0,0,0,0,0,0,0
TEXAS-JOSH JOHNSON,0,0,0,0,0,0,0,1,0,0,0,0,0
TEXAS-KYLIE MCBRIDE,0,0,2,0,0,0,0,0,0,0,0,0,0
TEXAS-SPENCER FORBES,0,0,0,0,1,0,0,0,0,0,0,0,0
UCLA-21,0,0,0,0,0,0,0,0,0,0,0,0,1
UCLA-34,0,0,0,0,1,0,0,0,0,0,0,0,0
UCLA-ASHLEY GORE,0,0,1,0,0,0,0,0,0,0,0,0,0
UCLA-JUSTIN VANLIGTEN,0,0,0,0,0,0,0,0,0,1,0,0,0
TEXAS-14,0,1,0,0,0,1,0,0,0,0,0,0,0
TEXAS-UNK,0,0,0,0,0,1,0,0,0,0,0,0,0
UCLA-UNK,0,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-JOEY CASTELLANO,0,0,0,0,0,2,0,0,0,0,0,0,0
