,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TXST-MELISSA KITE,0,0,0,0,0,1,3,0,0,0,0,0,0
TXST-TIM NGUYEN,2,0,0,0,0,0,2,0,0,0,0,0,1
TXST-JOHN ALVAREZ,0,0,0,0,1,0,2,0,0,0,0,0,0
TAMU-LANDIS WALTHER,0,0,0,0,0,1,2,0,0,0,0,0,0
TAMU-4,5,1,0,0,1,0,1,0,0,0,0,0,0
TXST-HECTOR MOQUETE,2,0,0,0,1,0,1,0,0,0,0,0,0
TAMU-NATHON SANCHEZ,1,0,0,0,0,0,1,0,0,0,0,0,0
TXST-AMBER BONHOMME,1,2,0,0,0,0,1,0,0,0,0,0,1
TAMU-ADRIENNE DEMOSS,0,1,0,0,0,0,1,0,0,0,0,0,0
TXST-DAVID AVILA,0,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-HAYDAN ALTMAN,0,0,0,0,0,1,1,0,0,0,0,0,0
TAMU-MALIK DOUGLAS,0,2,0,0,0,1,1,0,0,0,0,0,0
TAMU-UNK,0,0,0,0,0,1,1,0,0,0,0,0,1
TXST-ERIC REYES,3,0,0,0,0,0,0,0,0,0,0,0,0
TXST-TAYLOR AHOYT,2,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-JESSICA HEMBREE,1,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-MIGUEL SOBARZO,1,0,0,0,0,0,0,0,0,0,0,0,1
TAMU-ALEX STEWART,0,0,1,0,0,0,0,0,0,0,0,0,0
TAMU-CAMERON VILLAMIL,0,0,0,0,1,0,0,0,0,0,0,0,0
TAMU-NICK ROY,0,0,3,0,0,0,0,0,0,0,0,0,1
TXST-AUDREY FRY,0,1,0,0,0,0,0,0,0,0,0,0,0
TXST-CAMERON OGILVIE,0,0,0,0,0,0,0,0,0,1,0,0,0
TXST-MICHAEL NALEY,0,0,0,1,0,0,0,0,0,0,0,0,0
TXST-RYAN NAWROCKI,0,0,3,0,0,0,0,0,0,2,0,0,0
TXST-UNK,0,1,0,0,0,0,0,0,0,0,0,0,0
TXST-CLAYTON CARLISLE,0,1,0,0,0,1,0,0,0,0,0,0,0
TXST-MICHAEL GENTEMPO,0,0,0,0,0,1,0,0,0,0,0,0,0
