,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
CAL-ELIJAH PHIPPS,0,0,0,0,0,0,3,0,0,0,0,0,0
TAMU-BLAINE MCCULLARS,0,0,0,0,0,1,2,0,0,0,0,0,0
CAL-RYAN PFENNING,3,2,0,0,2,0,1,0,0,0,0,0,0
TAMU-CONNOR MCINTYRE,2,1,0,0,0,1,1,0,0,0,0,0,0
TAMU-HAYDAN ALTMAN,0,2,0,0,2,1,1,0,0,0,0,0,1
CAL-DARA GAEUMAN,1,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-CAMERON VILLAMIL,1,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-JACK MCBRIDE,1,2,0,0,1,0,0,0,0,0,0,0,0
CAL-AJ MORGAN,0,1,0,0,0,0,0,0,0,0,0,0,0
CAL-ARDIN LO,0,0,1,0,0,0,0,0,0,0,0,0,0
CAL-CONNOR HUGHES,0,0,1,0,0,0,0,0,0,0,0,0,0
CAL-ERIC SHEN,0,0,0,0,1,0,0,0,0,0,0,0,0
CAL-IVAN AVALOS,0,0,1,0,0,0,0,0,0,0,0,0,0
CAL-MADDI ERDALL,0,1,0,0,0,0,0,0,0,0,0,0,0
TAMU-ARON GEBREMICAEL,0,0,1,0,0,0,0,0,0,0,0,0,0
TAMU-KODY FOX,0,0,0,0,1,0,0,0,0,0,0,0,0
TAMU-LANDIS WALTHER,0,1,0,0,0,0,0,0,0,0,0,0,0
TAMU-MILES TRAVIS,0,0,3,0,0,0,0,0,0,0,0,0,0
TAMU-SHANIAH CARROLL,0,0,0,0,0,0,0,0,0,1,0,0,0
CAL-TJ OHANLON,0,0,0,0,0,1,0,0,0,0,0,0,0
