,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
CAL-ELIJAH PHIPPS,0,0,0,0,2,0,2,0,0,0,0,0,0
TEXAS-KASYE BEVERS,0,2,0,0,0,0,2,0,0,0,0,0,0
TEXAS-DAVIS ROE,2,2,0,0,0,0,1,0,0,0,0,0,0
TEXAS-ABBY WADE,0,0,0,0,0,0,1,0,0,0,0,0,0
CAL-AJ MORGAN,0,0,0,0,0,2,1,0,0,0,0,0,0
CAL-MADDI ERDALL,0,0,0,0,0,2,1,0,0,0,0,0,0
CAL-RYAN PFENNING,4,1,0,0,0,1,0,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,2,4,0,0,0,0,0,0,0,0,0,0,0
CAL-CONNOR HUGHES,0,0,6,0,0,0,0,0,0,0,0,0,0
CAL-IVAN AVALOS,0,0,2,0,0,0,0,0,0,0,0,0,0
CAL-UNK,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-AIDAN PARSI,0,0,0,1,1,0,0,0,0,0,0,0,0
TEXAS-DYLAN BOTTOMS,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JOSH JOHNSON,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,2,0,0,0,0,0,0,0,0,0,0
TEXAS-GRAYSON BRIGGS,0,1,0,0,0,2,0,0,0,0,0,0,0
