,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
MIZZOU-UNK,2,3,2,0,1,3,2,0,0,1,0,0,0
TEXAS-DAVIS ROE,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,0,2,0,0,0,0,1,0,0,0,0,0,0
TEXAS-KASYE BEVERS,0,0,0,0,0,1,1,0,0,0,0,0,0
TEXAS-AIDAN PARSI,1,0,0,0,2,0,0,0,0,0,0,0,0
TEXAS-JOSH JOHNSON,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JACK WANG,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-KYLIE MCBRIDE,0,0,2,0,0,0,0,0,0,0,0,0,0
TEXAS-UNK,0,0,0,0,1,0,0,0,0,0,0,0,0
