,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TEXAS-KASYE BEVERS,0,1,0,0,0,0,3,0,0,0,0,0,0
TXST-CLAYTON CARLISLE,0,0,0,0,0,0,2,0,0,0,0,0,0
TEXAS-JOSH JOHNSON,1,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-SPENCER FORBES,0,1,0,0,0,0,1,0,0,0,0,0,0
TXST-AMBER BONHOMME,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-DAVIS ROE,2,1,0,0,0,0,0,0,0,0,0,0,0
TXST-MICHAEL GENTEMPO,2,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-DYLAN BOTTOMS,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,1,1,0,0,0,0,0,0,0,0,0,0,0
TXST-ERIC REYES,1,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-DAVID HUBER,0,0,0,0,0,0,0,0,0,0,0,0,1
TEXAS-JACK WANG,0,0,1,1,0,0,0,0,0,0,0,0,0
TEXAS-JAYDAN GILSTRAP,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-KYLIE MCBRIDE,0,0,1,0,0,0,0,0,0,1,0,0,0
TEXAS-MICHAEL JOHNSTON,0,2,0,0,0,0,0,0,0,0,0,0,0
TEXAS-RICHMOND KEELING,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,4,0,0,0,0,0,0,1,0,0,0
TXST-BAILEE FIELDS,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-BRADLEY HIMES,0,0,3,0,0,0,0,0,0,0,0,0,0
TXST-JESSICA MARKLE,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-JUSTIN DUGIE,0,0,0,0,1,0,0,0,0,0,0,0,0
TXST-KRIS DE LA FUENTE,0,0,2,0,0,0,0,0,0,0,0,0,0
TXST-RYAN NAWROCKI,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-CONNOR ELLSTON,0,0,0,0,0,1,0,0,0,0,0,0,0
TXST-TIM NGUYEN,0,0,0,0,0,1,0,0,0,0,0,0,0
