,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TEXAS-KASYE BEVERS,0,0,0,0,0,0,1,0,0,1,0,0,0
UMD-ABBIE WATERS,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-DAVIS ROE,1,0,0,0,0,0,0,0,0,0,0,0,0
UMD-NOAH RINDOCK,1,0,0,0,1,1,0,0,0,0,0,0,0
TEXAS-AIDAN PARSI,0,0,0,0,3,0,0,0,0,0,0,0,0
TEXAS-KYLIE MCBRIDE,0,0,1,0,0,0,0,0,0,0,0,0,0
UMD-BEN WHONG,0,0,0,0,0,0,0,0,0,1,0,0,0
UMD-LAUREN DYKE,0,0,1,0,0,0,0,0,0,0,0,0,0
UMD-ZAIN BHAILA,0,0,1,0,0,0,0,0,0,0,0,0,0
UMD-JOHN SHERIDAN,0,0,0,0,0,1,0,0,0,0,0,0,0
UMD-MACK MORGAN,0,0,0,0,1,1,0,0,0,0,0,0,0
