,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
MIZZOU-UNK,2,2,2,0,1,4,4,0,0,1,0,0,0
TEXAS-28,1,0,0,0,0,0,3,0,0,0,0,0,0
TEXAS-2,0,2,0,0,0,0,3,0,0,0,0,0,0
TEXAS-20,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-DYLAN BOTTOMS,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-6,0,0,0,0,0,1,1,0,0,0,0,0,0
TEXAS-AIDAN PARSI,1,0,0,0,2,0,0,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,1,0,0,0,0,0,0,0,0,0,0,0,0
MIZZOU-2,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-11,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-JOEY CASTELLANO,0,0,0,0,0,0,0,0,1,0,0,0,0
TEXAS-KYLIE MCBRIDE,0,0,2,0,0,0,0,0,0,0,0,0,0
MIZZOU-20,0,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-UNK,0,0,0,0,1,1,0,0,0,0,0,0,0
