,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TAMU-JACK MCBRIDE,2,1,0,0,1,1,5,0,0,0,0,0,0
TAMU-BLAINE MCCULLARS,0,0,0,0,0,1,3,0,0,0,0,0,0
TXST-ERIC REYES,1,0,0,0,0,0,2,0,0,0,0,0,0
TXST-MELISSA KITE,1,0,0,0,0,0,2,0,0,0,0,0,0
TAMU-HAYDAN ALTMAN,0,0,0,0,1,0,2,0,0,0,0,0,0
TAMU-CONNOR MCINTYRE,0,0,0,0,0,1,2,0,0,0,0,0,0
TXST-JUSTIN DUGIE,0,0,0,0,0,1,2,0,0,0,0,0,1
TXST-CLAYTON CARLISLE,1,0,0,0,0,0,1,0,0,0,0,0,0
TXST-AMBER BONHOMME,0,0,0,0,1,0,1,0,0,0,0,0,0
TXST-AUDREY FRY,0,0,0,0,0,1,1,0,0,0,0,0,0
TXST-DAVID AVILA,0,0,0,0,0,1,1,0,0,0,0,0,0
TXST-NICK ED,2,1,0,0,0,0,0,0,0,0,0,0,0
TAMU-KEATON MALLORY,1,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-KODY FOX,1,0,0,0,0,0,0,0,0,0,0,0,1
TXST-MICHAEL GENTEMPO,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-MARK MCQUAGE,1,0,0,0,1,2,0,0,0,0,0,0,1
TAMU-ALEX STEWART,0,0,0,0,0,0,0,0,0,0,0,0,1
TAMU-CAMERON VILLAMIL,0,0,0,0,1,0,0,0,0,0,0,0,0
TAMU-RANDI DORAN,0,1,0,0,0,0,0,0,0,0,0,0,0
TAMU-SHANIAH CARROLL,0,0,2,0,0,0,0,0,0,0,0,0,0
TXST-23,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-BAILEE FIELDS,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-JESSICA MARKLE,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-JOHN ALVAREZ,0,0,0,0,0,0,0,1,0,0,0,0,0
TXST-RYAN NAWROCKI,0,0,0,0,0,0,0,0,0,1,0,0,0
TAMU-ARON GEBREMICAEL,0,0,0,0,0,1,0,0,0,0,0,0,0
TXST-TIM NGUYEN,0,0,0,0,0,1,0,0,0,0,0,0,0
