,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TEXAS-CAROLINE TAO,0,0,0,0,0,0,1,0,0,0,0,0,0
UTSA-CARLOS PRADO,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-DAVIS ROE,1,0,0,0,2,0,0,0,0,0,0,0,0
UTSA-RENN LEBER,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-GRAYSON BRIGGS,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JAYDAN GILSTRAP,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-JOHN ANDERSON,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,2,0,0,0,0,0,0,0,0,0,0
UTSA-CHUCKY SEPULVEDA,0,0,0,0,2,0,0,0,0,0,0,0,0
UTSA-DANIEL WILLIAMS,0,0,2,0,0,0,0,0,0,1,0,0,0
TEXAS-JOSH JOHNSON,0,0,0,0,0,1,0,0,0,0,0,0,0
UTSA-CHRISTIAN CORTEZ,0,0,0,0,0,1,0,0,0,0,0,0,0
