,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
UVA-MATTHEW COOPER,0,0,0,0,0,2,2,0,0,0,0,0,0
UVA-BEN PHILLIPS,3,4,0,0,1,1,1,0,0,0,0,0,0
UVA-MATTHEW STEELBERG,1,0,0,0,0,0,1,0,0,0,0,0,0
UMD-JOHN SHERIDAN,0,1,0,0,0,0,1,0,0,0,0,0,0
UMD-UNK,0,0,0,0,0,0,1,0,0,0,0,0,0
UVA-CARLEE KLEPPIN,0,0,0,0,1,0,1,0,0,0,0,0,0
UMD-MACK MORGAN,1,0,0,0,0,0,0,0,0,0,0,0,0
UVA-UNK,1,1,0,0,0,0,0,0,0,0,0,0,0
UMD-ABBY POTTER,1,0,0,0,0,1,0,0,0,0,0,0,0
UMD-44,0,0,1,0,0,0,0,0,0,0,0,0,0
UMD-47,0,0,1,0,0,0,0,0,0,0,0,0,0
UMD-JERRICK KNIPPEL,0,1,0,0,0,0,0,0,0,0,0,0,0
UMD-NOAH RINDOCK,0,1,0,0,0,0,0,0,0,0,0,0,0
UMD-ZAIN BHAILA,0,0,1,0,0,0,0,0,0,0,0,0,0
UVA-68,0,0,0,0,0,0,0,0,0,1,0,0,0
UVA-94,0,0,2,0,0,0,0,0,0,0,0,0,0
UVA-LANE BURGESS,0,0,1,0,0,0,0,0,0,3,0,0,0
UMD-MIKE SINDALL,0,1,0,0,0,1,0,0,0,0,0,0,0
UVA-MICHAEL HOWELL,0,1,0,0,0,2,0,0,0,0,0,0,0
