,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
UVA-BEN PHILLIPS,1,2,0,0,0,0,3,0,0,0,0,0,0
UVA-MICHAEL HOWELL,0,0,0,0,0,0,2,0,0,0,0,0,0
UMD-MIKE SINDALL,0,0,0,0,0,0,1,0,0,0,0,0,0
UMD-NOAH RINDOCK,0,2,0,0,1,0,1,0,0,0,0,0,0
UVA-FARAAZ SIDDIQUI,4,0,0,0,0,1,0,0,0,0,0,0,0
UMD-ABBY POTTER,1,1,0,0,0,0,0,0,0,0,0,0,0
UMD-MACK MORGAN,1,0,0,0,0,0,0,0,0,0,0,0,0
UMD-HEATHER FARNAN,0,0,1,0,0,0,0,0,0,0,0,0,0
UMD-JOHN SHERIDAN,0,1,0,0,2,0,0,0,0,0,0,0,0
UMD-ZAIN BHAILA,0,0,4,0,0,0,0,0,0,1,0,0,0
UVA-AIDAN MOSSIP,0,0,2,0,0,0,0,0,0,0,0,0,0
UVA-HANNAH ROLLINS,0,0,1,0,0,0,0,0,0,0,0,0,0
UVA-JOE SCHINDERLE,0,0,1,0,0,0,0,0,0,0,0,0,0
UVA-LANE BURGESS,0,0,1,0,0,0,0,0,0,2,0,0,0
UVA-MATTHEW STEELBERG,0,2,0,0,0,0,0,0,0,0,0,0,0
UMD-JERRICK KNIPPEL,0,0,0,0,0,1,0,0,0,0,0,0,0
UVA-26,0,0,0,0,0,1,0,0,0,0,0,0,0
UVA-MATTHEW COOPER,0,1,0,0,0,1,0,0,0,0,0,0,1
