,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
UVA-MATTHEW COOPER,1,0,0,0,0,0,1,0,0,0,0,0,0
UMD-JOHN SHERIDAN,0,0,0,0,1,0,1,0,0,1,0,0,0
UVA-MICHAEL HOWELL,0,0,0,0,0,0,1,0,0,0,0,0,0
UMD-MACK MORGAN,1,1,0,0,0,0,0,0,0,1,0,0,0
UVA-MATTHEW STEELBERG,1,2,0,0,0,0,0,0,0,0,0,0,0
UMD-13,0,1,0,0,0,0,0,0,0,0,0,0,0
UMD-2,0,1,0,0,0,0,0,0,0,0,0,0,0
UMD-45,0,0,1,0,0,0,0,0,0,0,0,0,0
UMD-HEATHER FARNAN,0,0,1,0,0,0,0,0,0,1,0,0,0
UMD-TJ GENERETTE,0,0,0,0,1,0,0,0,0,0,0,0,0
UMD-ZAIN BHAILA,0,0,2,0,0,0,0,0,0,1,0,0,0
UVA-88,0,0,0,0,1,0,0,0,0,0,0,0,0
UVA-CARLEE KLEPPIN,0,0,0,0,2,0,0,0,0,0,0,0,0
UVA-LANE BURGESS,0,0,2,0,0,0,0,0,0,0,0,0,0
UVA-FARAAZ SIDDIQUI,0,0,0,0,0,1,0,0,0,0,0,0,0
