,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TEXAS-JOSH JOHNSON,1,0,0,0,0,0,4,0,0,0,0,0,0
TEXAS-COLE BURKE,0,1,0,0,0,0,2,0,0,0,0,0,0
TEXAS-KASYE BEVERS,0,0,0,0,0,0,2,0,0,0,0,0,0
TEXAS-JOHN ANDERSON,2,0,0,0,0,0,1,0,1,0,0,0,0
SHSU-CHRIS DORSEY,1,0,0,0,0,0,1,0,0,0,0,0,0
SHSU-THOMAS MORGAN,1,0,0,0,0,0,1,0,0,0,0,0,0
SHSU-BRANDON KUBENA,1,1,0,0,0,1,1,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,1,1,0,0,0,1,1,0,0,0,0,0,0
SHSU-KEENAN NASH,1,0,0,0,0,2,1,0,0,0,0,0,0
TEXAS-CAROLINE TAO,0,0,0,0,0,1,1,0,0,0,0,0,0
SHSU-HALEY DUPRE,0,0,0,0,0,3,1,0,0,0,0,0,0
TEXAS-GRAYSON BRIGGS,1,0,0,0,0,0,0,0,0,0,0,0,0
SHSU-HAYDEN BOYES,1,1,0,0,0,1,0,0,0,0,0,0,0
TEXAS-DAVIS ROE,1,0,0,0,0,3,0,0,0,0,0,0,0
SHSU-BALDEMAR NUNEZ,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-JACK WANG,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,0,3,0,0,0,0,0,0,0,0,0,0,0
TEXAS-SAM SELLE,0,0,1,0,0,0,0,0,0,0,0,0,0
SHSU-25,0,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-GABE OLIVO,0,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,1,0,0,1,0,0,0,0,0,0,0
