,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TEXAS-KASYE BEVERS,0,0,0,0,0,0,3,0,0,0,0,0,0
TEXAS-JOSH JOHNSON,1,2,0,0,0,0,1,0,0,0,0,0,1
TEXAS-COLE BURKE,0,1,0,0,0,0,1,0,0,0,0,0,0
TEXAS-SPENCER FORBES,0,1,0,0,0,0,1,0,0,0,0,0,0
TXST-IAN GAONA,0,0,0,0,0,0,1,0,0,0,0,0,0
TXST-JANETTE GARCIA,0,0,0,0,0,0,1,0,0,0,0,0,0
TXST-TIM NGUYEN,0,0,0,0,0,1,1,0,0,0,0,0,0
TEXAS-GRAYSON BRIGGS,2,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,2,1,0,0,0,0,0,0,0,0,0,0,0
TXST-BRANDON MACDOWRA,2,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JOHN ANDERSON,1,2,0,0,0,0,0,0,0,0,0,0,0
TXST-CLAYTON CARLISLE,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JACK WANG,0,0,2,0,0,0,0,0,0,0,0,0,0
TEXAS-JAYDAN GILSTRAP,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,3,0,0,0,0,0,0,0,0,0,0
TXST-89,0,0,0,1,0,0,0,0,0,0,0,0,0
TXST-BRADLEY HIMES,0,0,0,1,0,0,0,0,0,0,0,0,0
TXST-CAMERON OGILVIE,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-TESS ACOSTA,0,0,1,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,1,0,0,0
TXST-NICK ED,0,1,0,0,0,1,0,0,0,0,0,0,0
