,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TXST-TIM NGUYEN,1,0,0,0,2,0,1,0,0,0,0,0,0
TAMU-RANDI DORAN,0,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-CONNOR MCINTYRE,0,1,0,0,0,1,1,0,0,0,0,0,0
TXST-CLAYTON CARLISLE,0,0,0,0,0,1,1,0,0,0,0,0,0
TXST-IAN GAONA,0,0,0,0,0,1,1,0,0,0,0,0,0
TAMU-HAYDAN ALTMAN,1,1,0,0,0,0,0,0,0,0,0,0,0
TAMU-LANDIS WALTHER,1,1,0,0,0,0,0,0,0,0,0,0,0
TXST-CALEB RATLIFF,1,0,0,0,0,0,0,0,0,0,0,0,0
TXST-NICK ED,1,2,0,0,0,1,0,0,0,0,0,0,0
TAMU-CAMERON VILLAMIL,0,1,0,0,0,0,0,0,0,0,0,0,0
TAMU-MEHGAN ORSACK,0,0,1,0,0,0,0,0,0,0,0,0,0
TAMU-SHANIAH CARROLL,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-BRADLEY HIMES,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-BRANDON MACDOWRA,0,1,0,0,1,0,0,0,0,0,0,0,0
TXST-CAMERON OGILVIE,0,0,1,0,0,0,0,0,0,1,0,0,0
TXST-JOHN MOLINA,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-MIKE MORROW,0,0,0,0,1,0,0,0,0,0,0,0,0
TXST-TESS ACOSTA,0,0,1,0,0,0,0,0,0,0,0,0,0
TAMU-TYLER PEARSON,0,0,0,0,0,1,0,0,0,0,0,0,0
TXST-MELISSA KITE,0,0,0,0,0,1,0,0,0,0,0,0,0
TXST-SARAH BROOKS,0,0,0,0,0,1,0,0,0,0,0,0,0
