,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
UTSA-TYLER ZREET,1,0,0,0,0,0,2,0,0,0,0,0,0
TEXAS-DAVIS ROE,1,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-LUKE MEISSNER,1,1,0,0,0,1,1,0,0,0,0,0,0
TEXAS-COLE BURKE,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-KASYE BEVERS,0,0,0,0,1,0,1,0,0,0,0,0,0
UTSA-CARLOS PRADO,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-JOHN ANDERSON,2,0,0,0,0,0,0,0,0,0,0,0,0
UTSA-CARSYN DIETZ,1,0,0,0,0,0,0,0,0,0,0,0,0
UTSA-MATT BLACKWOOD,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JACK WANG,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-JAYDAN GILSTRAP,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JOSH JOHNSON,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-RICHMOND KEELING,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,2,0,0,0,0,0,0,0,0,0,0
UTSA-CHRISTIAN CORTEZ,0,0,0,0,1,0,0,0,0,0,0,0,0
UTSA-DANIEL WILLIAMS,0,0,2,0,0,0,0,0,0,0,0,0,0
TEXAS-CAROLINE TAO,0,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-GRAYSON BRIGGS,0,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,0,0,0,0,1,1,0,0,0,0,0,0,0
