,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
UTSA-TYLER ZREET,0,2,0,2,0,1,9,0,0,0,0,0,1
TXST-CALEB RATLIFF,2,1,0,0,2,5,2,0,0,0,0,0,1
UTSA-CARSYN DIETZ,1,0,0,0,0,0,2,0,0,0,0,0,0
TXST-NICK ED,1,1,0,0,1,4,2,0,0,0,0,0,0
TXST-JOHN ALVAREZ,0,0,0,0,0,0,2,0,0,0,0,0,0
UTSA-CHRISTIAN CORTEZ,0,0,0,0,1,0,2,0,0,0,0,0,0
TXST-IAN GAONA,0,0,0,0,0,2,2,0,0,0,0,0,1
UTSA-MATT BLACKWOOD,4,1,0,0,0,0,1,0,0,0,0,0,1
UTSA-RENN LEBER,3,0,0,1,0,0,1,0,0,0,0,0,1
UTSA-KEVIN GONZALEZ,1,0,0,0,0,0,1,0,0,0,0,0,0
TXST-TIM NGUYEN,0,0,0,0,2,2,1,0,0,0,0,0,1
TXST-JANETTE GARCIA,1,1,0,0,0,0,0,0,0,0,0,0,1
TXST-71,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-BRADLEY HIMES,0,0,2,0,0,0,0,0,0,0,0,0,0
TXST-CAMERON OGILVIE,0,0,4,0,0,0,0,0,0,1,0,0,0
TXST-MAYA HINEBAUGH,0,0,1,0,0,0,0,0,0,0,0,0,0
UTSA-ALLIE MESSENGER,0,0,1,0,0,0,0,0,0,0,0,0,0
UTSA-AVERIE MESSENGER,0,0,0,0,0,0,0,0,0,0,0,0,1
UTSA-DANIEL WILLIAMS,0,0,4,0,0,0,0,0,0,0,0,0,0
UTSA-NATE SALDIVAR,0,0,1,0,0,0,0,0,0,0,0,0,0
UTSA-CARLOS PRADO,0,0,0,0,0,1,0,0,0,0,0,0,0
TXST-BRANDON MACDOWRA,0,0,0,0,0,2,0,0,0,0,0,0,0
TXST-MELISSA KITE,0,0,0,0,1,2,0,0,0,0,0,0,0
