,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TXST-NICK ED,0,0,0,0,0,1,2,0,0,0,0,0,0
UTSA-TYLER ZREET,0,0,0,0,0,1,2,0,0,0,0,0,0
TXST-ERIC REYES,2,1,0,0,1,0,1,0,0,0,0,0,0
UTSA-MATT BLACKWOOD,1,1,0,0,0,0,1,0,0,0,0,0,0
UTSA-RENN LEBER,1,0,0,0,0,1,1,0,0,0,0,0,1
TXST-IAN GAONA,0,0,0,0,0,0,1,0,0,0,0,0,0
TXST-22,0,0,0,0,0,1,1,0,0,0,0,0,0
TXST-MELISSA KITE,0,0,0,0,0,1,1,0,0,0,0,0,0
UTSA-KEVIN GONZALEZ,0,0,0,0,1,1,1,0,0,0,0,0,0
UTSA-AVERIE MESSENGER,0,0,0,0,0,3,1,0,0,0,0,0,0
TXST-CLAYTON CARLISLE,1,0,0,0,0,0,0,0,0,0,0,0,0
UTSA-CARLOS PRADO,1,0,0,0,1,0,0,0,0,0,0,0,0
TXST-1,0,1,0,0,0,0,0,0,0,0,0,0,0
TXST-CALEB RATLIFF,0,0,0,0,0,0,0,0,0,0,0,0,1
TXST-CAMERON OGILVIE,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-JOHN ALVAREZ,0,0,0,0,0,0,0,1,0,0,0,0,0
TXST-JOHN MOLINA,0,0,1,0,0,0,0,0,0,0,0,0,0
TXST-MAYA HINEBAUGH,0,0,1,0,0,0,0,0,0,0,0,0,0
UTSA-43,0,0,0,1,0,0,0,0,0,0,0,0,0
UTSA-CHRISTIAN BOLA,0,0,1,0,0,0,0,0,0,0,0,0,0
UTSA-DANIEL WILLIAMS,0,0,2,0,0,0,0,0,0,0,0,0,0
UTSA-NATE SALDIVAR,0,0,2,0,0,0,0,0,0,0,0,0,0
